player_id,player_name,seasons,season_count,total_possessions,style_archetype,pc1,pc2,share_Cut,share_Handoff,share_Isolation,share_OffRebound,share_OffScreen,share_PRBallHandler,share_PRRollMan,share_Postup,share_Spotup,share_Transition
101106,Andrew Bogut,2016-2026,3,397,Cut,-5.417139108421107,0.37725019018604944,0.44584382871536526,0.0,0.0,0.28211586901763225,0.0,0.0,0.1309823677581864,0.09319899244332494,0.0,0.04785894206549118
101107,Marvin Williams,2016-2026,5,3155,Spotup,-0.9989093449668139,-1.380682758204714,0.07828843106180666,0.019334389857369256,0.0,0.06814580031695722,0.05451664025356577,0.005705229793977813,0.14358161648177495,0.0687797147385103,0.4358161648177496,0.12583201267828842
101108,Chris Paul,2016-2026,11,8988,P&R Ball Handler,1.554750175833975,3.7491731084946283,0.0,0.03393413440142412,0.18580329327992878,0.005451713395638629,0.0030040053404539386,0.5151312861593236,0.0,0.017578994214508235,0.11337338673787271,0.12572318647085
101109,Raymond Felton,2016-2026,4,2140,P&R Ball Handler,1.5479575624705175,2.2257097062258637,0.007476635514018692,0.03785046728971963,0.11261682242990655,0.0,0.02336448598130841,0.47570093457943924,0.0,0.0,0.23224299065420562,0.11074766355140186
101111,Charlie Villanueva,2016-2026,1,349,Spotup,-0.03657645164835307,-1.4981474415806135,0.04297994269340974,0.03724928366762178,0.0,0.05157593123209169,0.16045845272206305,0.0,0.11461318051575932,0.0659025787965616,0.3982808022922636,0.12893982808022922
101112,Channing Frye,2016-2026,3,1114,Spotup,-1.1295515144848143,-1.178616512989005,0.05475763016157989,0.0,0.008976660682226212,0.0296229802513465,0.06552962298025135,0.0,0.19120287253141832,0.08797127468581688,0.45870736086175945,0.10323159784560143
101114,Deron Williams,2016-2026,2,1645,P&R Ball Handler,1.383547078708984,2.36780061275111,0.01884498480243161,0.05167173252279635,0.13009118541033435,0.0,0.1148936170212766,0.34711246200607904,0.0,0.07051671732522796,0.16534954407294833,0.10151975683890578
101123,Gerald Green,2016-2026,4,1950,Spotup,1.7303573365156266,-0.9445152656263154,0.03230769230769231,0.08717948717948718,0.043076923076923075,0.022564102564102566,0.13846153846153847,0.09846153846153846,0.009743589743589744,0.009743589743589744,0.38358974358974357,0.17487179487179488
101127,Jarrett Jack,2016-2026,2,977,P&R Ball Handler,1.6479985794506502,2.1304485925018386,0.0,0.03582395087001024,0.08904810644831115,0.0,0.02661207778915046,0.5250767656090072,0.0,0.0,0.1842374616171955,0.13920163766632548
101133,Ian Mahinmi,2016-2026,5,1429,Cut,-4.386935272363471,0.16414324327841134,0.33939818054583626,0.0,0.010496850944716585,0.18264520643806859,0.0,0.0,0.2225332400279916,0.08257522743177047,0.07557732680195942,0.0867739678096571
