player_name,player_id,LeftThree_percentage,LeftThree,LeftClose_percentage,LeftClose,RightThree_percentage,RightThree,TopThree_percentage,TopThree,Charge_percentage,Charge,TopClose_percentage,TopClose,DeepThree_percentage,DeepThree,LeftCorner_percentage,LeftCorner,LeftMid_percentage,LeftMid,RightClose_percentage,RightClose,RightCorner_percentage,RightCorner,TopMid_percentage,TopMid,RightMid_percentage,RightMid
League,League,36.199999999999996,#D3D3D3,40.87,#D3D3D3,35.54,#D3D3D3,35.42,#D3D3D3,63.61,#D3D3D3,45.5,#D3D3D3,30.45,#D3D3D3,38.49,#D3D3D3,41.5,#D3D3D3,43.76,#D3D3D3,39.160000000000004,#D3D3D3,41.36,#D3D3D3,39.65,#D3D3D3
Jayson Tatum,1628369,37.43,#efffef,37.14,#ffcfcf,38.89,#d4ffd4,32.11,#ffd4d4,68.45,#c1ffc1,49.21,#cfffcf,29.110000000000003,#ffeded,34.38,#ffcaca,53.059999999999995,#6bff6b,38.89,#ffc0c0,63.63999999999999,#00FF00,22.73,#ff1111,45.45,#b5ffb5
