player_id,headshot_path,headshot_available
1628384,analytics/images/nba/headshots/1628384.png,1
1628385,analytics/images/nba/headshots/1628385.png,1
1628386,analytics/images/nba/headshots/1628386.png,1
1628389,analytics/images/nba/headshots/1628389.png,1
1628390,analytics/images/nba/headshots/1628390.png,1
1628391,analytics/images/nba/headshots/1628391.png,1
1628392,analytics/images/nba/headshots/1628392.png,1
1628395,analytics/images/nba/headshots/1628395.png,1
1628396,analytics/images/nba/headshots/1628396.png,1
1628397,analytics/images/nba/headshots/1628397.png,1
1628398,analytics/images/nba/headshots/1628398.png,1
1628400,analytics/images/nba/headshots/1628400.png,1
1628401,analytics/images/nba/headshots/1628401.png,1
1628402,analytics/images/nba/headshots/1628402.png,1
1628404,analytics/images/nba/headshots/1628404.png,1
1628407,analytics/images/nba/headshots/1628407.png,1
1628408,analytics/images/nba/headshots/1628408.png,1
1628410,analytics/images/nba/headshots/1628410.png,1
1628411,analytics/images/nba/headshots/1628411.png,1
1628412,analytics/images/nba/headshots/1628412.png,1
1628414,analytics/images/nba/headshots/1628414.png,1
1628415,analytics/images/nba/headshots/1628415.png,1
1628416,analytics/images/nba/headshots/1628416.png,1
1628418,analytics/images/nba/headshots/1628418.png,1
1628420,analytics/images/nba/headshots/1628420.png,1
1628422,analytics/images/nba/headshots/1628422.png,1
1628425,analytics/images/nba/headshots/1628425.png,1
1628427,analytics/images/nba/headshots/1628427.png,1
1628436,analytics/images/nba/headshots/1628436.png,1
1628449,analytics/images/nba/headshots/1628449.png,1
1628455,analytics/images/nba/headshots/1628455.png,1
1628464,analytics/images/nba/headshots/1628464.png,1
1628467,analytics/images/nba/headshots/1628467.png,1
1628469,analytics/images/nba/headshots/1628469.png,1
1628470,analytics/images/nba/headshots/1628470.png,1
1628539,analytics/images/nba/headshots/1628539.png,1
1628960,analytics/images/nba/headshots/1628960.png,1
1628963,analytics/images/nba/headshots/1628963.png,1
1628964,analytics/images/nba/headshots/1628964.png,1
1628966,analytics/images/nba/headshots/1628966.png,1
1628969,analytics/images/nba/headshots/1628969.png,1
1628970,analytics/images/nba/headshots/1628970.png,1
1628971,analytics/images/nba/headshots/1628971.png,1
1628972,analytics/images/nba/headshots/1628972.png,1
1628973,analytics/images/nba/headshots/1628973.png,1
1628975,analytics/images/nba/headshots/1628975.png,1
1628976,analytics/images/nba/headshots/1628976.png,1
1628977,analytics/images/nba/headshots/1628977.png,1
1628978,analytics/images/nba/headshots/1628978.png,1
1628981,analytics/images/nba/headshots/1628981.png,1
1628983,analytics/images/nba/headshots/1628983.png,1
1628984,analytics/images/nba/headshots/1628984.png,1
1628988,analytics/images/nba/headshots/1628988.png,1
1628989,analytics/images/nba/headshots/1628989.png,1
1628990,analytics/images/nba/headshots/1628990.png,1
1628991,analytics/images/nba/headshots/1628991.png,1
1628995,analytics/images/nba/headshots/1628995.png,1
1628997,analytics/images/nba/headshots/1628997.png,1
1628998,analytics/images/nba/headshots/1628998.png,1
1629001,analytics/images/nba/headshots/1629001.png,1
1629002,analytics/images/nba/headshots/1629002.png,1
1629003,analytics/images/nba/headshots/1629003.png,1
1629004,analytics/images/nba/headshots/1629004.png,1
1629006,analytics/images/nba/headshots/1629006.png,1
1629008,analytics/images/nba/headshots/1629008.png,1
1629010,analytics/images/nba/headshots/1629010.png,1
1629011,analytics/images/nba/headshots/1629011.png,1
1629012,analytics/images/nba/headshots/1629012.png,1
1629013,analytics/images/nba/headshots/1629013.png,1
1629014,analytics/images/nba/headshots/1629014.png,1
1629016,analytics/images/nba/headshots/1629016.png,1
1629018,analytics/images/nba/headshots/1629018.png,1
1629019,analytics/images/nba/headshots/1629019.png,1
1629020,analytics/images/nba/headshots/1629020.png,1
1629021,analytics/images/nba/headshots/1629021.png,1
1629022,analytics/images/nba/headshots/1629022.png,1
1629023,analytics/images/nba/headshots/1629023.png,1
1629026,analytics/images/nba/headshots/1629026.png,1
1629027,analytics/images/nba/headshots/1629027.png,1
1629028,analytics/images/nba/headshots/1629028.png,1
1629029,analytics/images/nba/headshots/1629029.png,1
1629048,analytics/images/nba/headshots/1629048.png,1
1629052,analytics/images/nba/headshots/1629052.png,1
1629056,analytics/images/nba/headshots/1629056.png,1
1629057,analytics/images/nba/headshots/1629057.png,1
1629059,analytics/images/nba/headshots/1629059.png,1
1629060,analytics/images/nba/headshots/1629060.png,1
1629065,analytics/images/nba/headshots/1629065.png,1
1629066,analytics/images/nba/headshots/1629066.png,1
1629067,analytics/images/nba/headshots/1629067.png,1
1629103,analytics/images/nba/headshots/1629103.png,1
1629109,analytics/images/nba/headshots/1629109.png,1
1629111,analytics/images/nba/headshots/1629111.png,1
1629117,analytics/images/nba/headshots/1629117.png,1
