x_center,y_center,attempts,makes,fg_pct,pps
10,310,86,23,0.2674,0.8023
30,310,35,12,0.3429,1.0286
50,310,22,7,0.3182,0.9545
70,310,32,4,0.125,0.375
90,310,22,3,0.1364,0.4091
110,310,14,6,0.4286,1.2857
130,310,21,4,0.1905,0.5714
150,310,13,1,0.0769,0.2308
170,310,10,2,0.2,0.6
190,310,6,0,0.0,0.0
210,310,1,0,0.0,0.0
230,310,0,0,,
250,310,0,0,,
-250,330,0,0,,
-230,330,0,0,,
-210,330,2,1,0.5,1.5
-190,330,2,1,0.5,1.5
-170,330,8,2,0.25,0.75
-150,330,3,0,0.0,0.0
-130,330,9,2,0.2222,0.6667
-110,330,4,0,0.0,0.0
-90,330,11,5,0.4545,1.3636
-70,330,2,1,0.5,1.5
-50,330,10,1,0.1,0.3
-30,330,8,2,0.25,0.75
-10,330,23,10,0.4348,1.3043
10,330,27,9,0.3333,1.0
30,330,11,0,0.0,0.0
50,330,10,3,0.3,0.9
70,330,4,0,0.0,0.0
90,330,10,1,0.1,0.3
110,330,6,0,0.0,0.0
130,330,3,0,0.0,0.0
150,330,4,0,0.0,0.0
170,330,5,1,0.2,0.6
190,330,2,0,0.0,0.0
210,330,2,1,0.5,1.5
230,330,0,0,,
250,330,0,0,,
-250,350,0,0,,
-230,350,0,0,,
-210,350,1,0,0.0,0.0
-190,350,1,0,0.0,0.0
-170,350,6,1,0.1667,0.5
-150,350,2,0,0.0,0.0
-130,350,1,0,0.0,0.0
-110,350,3,2,0.6667,2.0
-90,350,5,2,0.4,1.2
-70,350,1,0,0.0,0.0
-50,350,2,1,0.5,1.5
-30,350,2,0,0.0,0.0
-10,350,9,2,0.2222,0.6667
10,350,10,1,0.1,0.3
30,350,3,1,0.3333,1.0
50,350,6,2,0.3333,1.0
70,350,2,1,0.5,1.5
90,350,2,0,0.0,0.0
110,350,3,0,0.0,0.0
130,350,6,0,0.0,0.0
150,350,3,0,0.0,0.0
170,350,3,1,0.3333,1.0
190,350,1,0,0.0,0.0
210,350,0,0,,
230,350,0,0,,
250,350,0,0,,
-250,370,0,0,,
-230,370,1,0,0.0,0.0
-210,370,2,1,0.5,1.5
-190,370,5,0,0.0,0.0
-170,370,3,0,0.0,0.0
-150,370,3,1,0.3333,1.0
-130,370,0,0,,
-110,370,1,0,0.0,0.0
-90,370,1,0,0.0,0.0
-70,370,3,2,0.6667,2.0
-50,370,2,1,0.5,1.5
-30,370,2,0,0.0,0.0
-10,370,5,0,0.0,0.0
10,370,6,1,0.1667,0.5
30,370,1,0,0.0,0.0
50,370,1,0,0.0,0.0
70,370,4,1,0.25,0.75
90,370,5,0,0.0,0.0
110,370,2,0,0.0,0.0
