player_id,player_name,comp_rank,comp_player_id,comp_player_name,similarity
101106,Andrew Bogut,1,203112,Quincy Acy,0.7202958469124363
101106,Andrew Bogut,2,202357,Nemanja Bjelica,0.7083797266311431
101106,Andrew Bogut,3,1628396,Tony Bradley,0.6927200650383255
101106,Andrew Bogut,4,1641757,Jordan Miller,0.6140274347135274
101106,Andrew Bogut,5,1630228,Jonathan Kuminga,0.5943285421250674
101106,Andrew Bogut,6,1629021,Moritz Wagner,0.5839236994518325
101106,Andrew Bogut,7,203516,James Ennis III,0.5722694090418355
101106,Andrew Bogut,8,1631218,Trayce Jackson-Davis,0.5554500508474102
101106,Andrew Bogut,9,1627780,Gary Payton II,0.5545756328133079
101106,Andrew Bogut,10,1641717,Cason Wallace,0.5332707759530024
101106,Andrew Bogut,11,1642276,Kel'el Ware,0.5298669287681662
101106,Andrew Bogut,12,1626224,Cedi Osman,0.5216930187028544
101107,Marvin Williams,1,1630572,Sandro Mamukelashvili,0.9176421717160466
101107,Marvin Williams,2,203095,Evan Fournier,0.8941256054979438
101107,Marvin Williams,3,203518,Alex Abrines,0.8743357092888859
101107,Marvin Williams,4,1628379,Luke Kennard,0.8694041180507063
101107,Marvin Williams,5,201961,Wayne Ellington,0.866774800979062
101107,Marvin Williams,6,202699,Tobias Harris,0.8648948893480781
101107,Marvin Williams,7,201568,Danilo Gallinari,0.8644867473486842
101107,Marvin Williams,8,203084,Harrison Barnes,0.8557652422674764
101107,Marvin Williams,9,201229,Anthony Tolliver,0.8544933934083863
101107,Marvin Williams,10,203584,Troy Daniels,0.8402578038395213
101107,Marvin Williams,11,1629661,Cameron Johnson,0.8348531040010758
101107,Marvin Williams,12,1627736,Malik Beasley,0.8340861772585869
101108,Chris Paul,1,203081,Damian Lillard,0.9778928175459448
101108,Chris Paul,2,1628378,Donovan Mitchell,0.965164827183904
101108,Chris Paul,3,1629660,Ty Jerome,0.9571403065453279
101108,Chris Paul,4,101150,Lou Williams,0.9532458369953782
101108,Chris Paul,5,1628973,Jalen Brunson,0.9487528954318959
101108,Chris Paul,6,202681,Kyrie Irving,0.930363187514567
101108,Chris Paul,7,1629029,Luka Dončić,0.9289332165581915
101108,Chris Paul,8,202689,Kemba Walker,0.9143899929831367
101108,Chris Paul,9,1628983,Shai Gilgeous-Alexander,0.8903154688404138
101108,Chris Paul,10,201144,Mike Conley,0.8767969430009585
101108,Chris Paul,11,201942,DeMar DeRozan,0.8756390593069818
101108,Chris Paul,12,1630169,Tyrese Haliburton,0.8745209945324843
101109,Raymond Felton,1,1630702,Jaden Hardy,0.9863058441175689
101109,Raymond Felton,2,1627747,Caris LeVert,0.7978537344204975
101109,Raymond Felton,3,1642962,Drake Powell,0.7288852005533522
101109,Raymond Felton,4,977,Kobe Bryant,0.7165304920348204
101109,Raymond Felton,5,1629647,Darius Bazley,0.7127743070010683
101109,Raymond Felton,6,203900,Markel Brown,0.711868411533452
101109,Raymond Felton,7,1628021,David Nwaba,0.7116909618106347
101109,Raymond Felton,8,1630528,Josh Christopher,0.7084536995555258
101109,Raymond Felton,9,1628398,Kyle Kuzma,0.7078105618830512
101109,Raymond Felton,10,1629003,Shake Milton,0.7025641136519454
101109,Raymond Felton,11,1631124,Julian Strawther,0.7011961339999516
101109,Raymond Felton,12,1641715,Cam Whitmore,0.7010766473054088
101111,Charlie Villanueva,1,1630583,Santi Aldama,0.9370080646673529
101111,Charlie Villanueva,2,1626150,Andrew Harrison,0.9314625819221671
101111,Charlie Villanueva,3,1626173,Rashad Vaughn,0.9295367718238419
101111,Charlie Villanueva,4,1642262,Cody Williams,0.9028289962538236
101111,Charlie Villanueva,5,1641713,GG Jackson,0.8880462353301096
101111,Charlie Villanueva,6,202697,Iman Shumpert,0.8775623663579646
101111,Charlie Villanueva,7,1628404,Josh Hart,0.8737924025860272
101111,Charlie Villanueva,8,1642364,Jamir Watkins,0.8697349361212944
101111,Charlie Villanueva,9,203460,Andre Roberson,0.8688824546024254
101111,Charlie Villanueva,10,1641763,Julian Phillips,0.8681414499185142
101111,Charlie Villanueva,11,1641772,Nae'Qwan Tomlin,0.8662453357286102
101111,Charlie Villanueva,12,1630256,Jae'Sean Tate,0.8589794081473786
101112,Channing Frye,1,1627777,Georges Niang,0.950262448194102
101112,Channing Frye,2,1627853,Ryan Arcidiacono,0.9188023946892028
101112,Channing Frye,3,201567,Kevin Love,0.9173299374841193
101112,Channing Frye,4,201229,Anthony Tolliver,0.9085780573465271
101112,Channing Frye,5,101181,Jose Calderon,0.896575065776783
101112,Channing Frye,6,202694,Marcus Morris Sr.,0.8933189693911276
101112,Channing Frye,7,202337,Luke Babbitt,0.88546257845398
101112,Channing Frye,8,101139,CJ Miles,0.8849820820716615
101112,Channing Frye,9,201143,Al Horford,0.8843045779721362
101112,Channing Frye,10,203459,Allen Crabbe,0.8802323732494516
101112,Channing Frye,11,203501,Tim Hardaway Jr.,0.877948175640113
101112,Channing Frye,12,1630573,Sam Hauser,0.8769714058201984
101114,Deron Williams,1,203894,Shabazz Napier,0.951887375910121
101114,Deron Williams,2,2207,Joe Johnson,0.9104384352773245
101114,Deron Williams,3,203079,Dion Waiters,0.889527980509986
101114,Deron Williams,4,1628988,Aaron Holiday,0.8820564227541648
101114,Deron Williams,5,203895,Jordan McRae,0.8720592107408622
101114,Deron Williams,6,1629645,Kevin Porter Jr.,0.8660687276865472
101114,Deron Williams,7,1641706,Brandon Miller,0.8628248266071653
101114,Deron Williams,8,1627752,Taurean Prince,0.8626157611058528
101114,Deron Williams,9,1642450,Daniss Jenkins,0.8621465062523865
101114,Deron Williams,10,1642856,Egor Dëmin,0.8546857717848383
101114,Deron Williams,11,1630590,Scotty Pippen Jr.,0.8522095030076745
101114,Deron Williams,12,1628984,Devonte' Graham,0.8494948544412095
101123,Gerald Green,1,1630548,Johnny Juzang,0.8971169297923975
101123,Gerald Green,2,203992,Bogdan Bogdanović,0.8214386317189104
101123,Gerald Green,3,203114,Khris Middleton,0.819680491560872
101123,Gerald Green,4,1631221,Collin Gillespie,0.7819897873848504
101123,Gerald Green,5,1631121,Bryce McGowens,0.7797795286825228
101123,Gerald Green,6,1627763,Malcolm Brogdon,0.7576519171211765
101123,Gerald Green,7,1629014,Anfernee Simons,0.7508061855195138
101123,Gerald Green,8,201162,Jared Dudley,0.7459528544209749
101123,Gerald Green,9,202337,Luke Babbitt,0.7408170447707508
101123,Gerald Green,10,1717,Dirk Nowitzki,0.7372672920727216
101123,Gerald Green,11,202692,Alec Burks,0.7268679560111919
101123,Gerald Green,12,1629726,Garrison Mathews,0.7108532419400269
101127,Jarrett Jack,1,203524,Solomon Hill,0.9465458563888608
101127,Jarrett Jack,2,1630558,Davion Mitchell,0.9307416672145532
101127,Jarrett Jack,3,203937,Kyle Anderson,0.9154782572795921
101127,Jarrett Jack,4,1626166,Cameron Payne,0.9153412998506474
101127,Jarrett Jack,5,202708,Norris Cole,0.9150789976966275
101127,Jarrett Jack,6,203935,Marcus Smart,0.9018727959379151
101127,Jarrett Jack,7,1628414,Sindarius Thornwell,0.8953279232425548
101127,Jarrett Jack,8,1642267,Bub Carrington,0.894118190218442
101127,Jarrett Jack,9,1629652,Luguentz Dort,0.8896861657956378
101127,Jarrett Jack,10,201596,Mario Chalmers,0.8884434263513608
101127,Jarrett Jack,11,1630595,Cade Cunningham,0.8874369874729294
101127,Jarrett Jack,12,201951,Ty Lawson,0.8844237954427705
101133,Ian Mahinmi,1,1630549,Day'Ron Sharpe,0.9615983463425175
101133,Ian Mahinmi,2,1628981,Bruno Fernando,0.9586994538586966
101133,Ian Mahinmi,3,1628389,Bam Adebayo,0.929809863145478
101133,Ian Mahinmi,4,1629308,Juan Toscano-Anderson,0.8917629987255941
101133,Ian Mahinmi,5,201585,Kosta Koufos,0.8699834686351744
101133,Ian Mahinmi,6,1630214,Xavier Tillman,0.8698880089184199
101133,Ian Mahinmi,7,203089,John Henson,0.857618885294967
101133,Ian Mahinmi,8,1628397,Ivan Rabb,0.8547825651505657
101133,Ian Mahinmi,9,202700,Donatas Motiejunas,0.8539149034207353
101133,Ian Mahinmi,10,1626172,Kevon Looney,0.8411431850323866
101133,Ian Mahinmi,11,203920,Khem Birch,0.8401265053674992
101133,Ian Mahinmi,12,202730,Lavoy Allen,0.8381697329706549
101135,David Lee,1,1630596,Evan Mobley,0.9390226496561482
101135,David Lee,2,1630188,Jalen Smith,0.9117919360294422
101135,David Lee,3,1627780,Gary Payton II,0.9034036244483578
101135,David Lee,4,1629002,Chimezie Metu,0.8887159086403456
101135,David Lee,5,1629626,Bol Bol,0.875914302083947
101135,David Lee,6,1626155,Sam Dekker,0.869129900168495
101135,David Lee,7,1628382,Justin Jackson,0.8648759467668782
101135,David Lee,8,202720,Jon Leuer,0.8568282381144889
101135,David Lee,9,203498,Shabazz Muhammad,0.8547904972916487
101135,David Lee,10,1627774,Jake Layman,0.8477022261867163
101135,David Lee,11,1630598,Aaron Wiggins,0.8424241643983913
101135,David Lee,12,1641708,Amen Thompson,0.8395018147292463
101138,Brandon Bass,1,1627826,Ivica Zubac,0.8756638344362021
101138,Brandon Bass,2,1641726,Dereck Lively II,0.8736685374636382
101138,Brandon Bass,3,1628396,Tony Bradley,0.8674617693030618
101138,Brandon Bass,4,1629637,Jaxson Hayes,0.8449764932135079
101138,Brandon Bass,5,1627780,Gary Payton II,0.788344803174943
101138,Brandon Bass,6,1627767,Cheick Diallo,0.7776082379080823
101138,Brandon Bass,7,1628386,Jarrett Allen,0.774257688269236
101138,Brandon Bass,8,203482,Kelly Olynyk,0.7473855560052821
101138,Brandon Bass,9,203939,Dwight Powell,0.7459960466321675
101138,Brandon Bass,10,1628436,Luke Kornet,0.7381233424039272
101138,Brandon Bass,11,1628418,Thomas Bryant,0.737378742094342
101138,Brandon Bass,12,1630167,Obi Toppin,0.7350647666453396
101139,CJ Miles,1,201143,Al Horford,0.9861888500551202
101139,CJ Miles,2,1627777,Georges Niang,0.9759207959586244
101139,CJ Miles,3,1630249,Vít Krejčí,0.9735426365565324
101139,CJ Miles,4,101181,Jose Calderon,0.9711797779320429
101139,CJ Miles,5,202694,Marcus Morris Sr.,0.9701184857198731
101139,CJ Miles,6,1630241,Sam Merrill,0.9531823730870543
101139,CJ Miles,7,1629018,Gary Trent Jr.,0.9498730672753389
