decade,x_center,y_center,attempts,makes,points,fg_pct,pps
2010s,-250,110,80,30,90,0.3750,1.1250
2010s,-230,110,3733,1396,4188,0.3740,1.1219
2010s,-210,110,2446,938,2767,0.3835,1.1312
2010s,-190,110,889,343,686,0.3858,0.7717
2010s,-170,110,2145,821,1642,0.3828,0.7655
2010s,-150,110,4113,1653,3306,0.4019,0.8038
2010s,-130,110,3983,1560,3120,0.3917,0.7833
2010s,-110,110,3235,1285,2570,0.3972,0.7944
2010s,-90,110,2048,799,1598,0.3901,0.7803
2010s,-70,110,2407,976,1952,0.4055,0.8110
2010s,-50,110,3281,1338,2676,0.4078,0.8156
2010s,-30,110,2464,949,1898,0.3851,0.7703
2010s,-10,110,4065,1748,3496,0.4300,0.8600
2010s,10,110,5439,2342,4684,0.4306,0.8612
2010s,30,110,2779,1165,2330,0.4192,0.8384
2010s,50,110,3499,1421,2842,0.4061,0.8122
2010s,70,110,2755,1152,2304,0.4181,0.8363
2010s,90,110,2180,850,1700,0.3899,0.7798
2010s,110,110,2844,1101,2202,0.3871,0.7743
2010s,130,110,3865,1503,3006,0.3889,0.7777
2010s,150,110,4021,1618,3236,0.4024,0.8048
2010s,170,110,2267,902,1804,0.3979,0.7958
2010s,190,110,982,413,826,0.4206,0.8411
2010s,210,110,1562,568,1659,0.3636,1.0621
2010s,230,110,4242,1618,4854,0.3814,1.1443
2010s,250,110,60,24,72,0.4000,1.2000
2010s,-250,130,23,7,21,0.3043,0.9130
2010s,-230,130,2047,760,2280,0.3713,1.1138
2010s,-210,130,7322,2704,8111,0.3693,1.1078
2010s,-190,130,741,294,705,0.3968,0.9514
2010s,-170,130,1709,652,1304,0.3815,0.7630
2010s,-150,130,3775,1491,2982,0.3950,0.7899
2010s,-130,130,5246,2095,4190,0.3994,0.7987
2010s,-110,130,4926,1975,3950,0.4009,0.8019
2010s,-90,130,3431,1435,2870,0.4182,0.8365
2010s,-70,130,3370,1431,2862,0.4246,0.8493
2010s,-50,130,2334,990,1980,0.4242,0.8483
2010s,-30,130,1913,817,1634,0.4271,0.8542
2010s,-10,130,3549,1528,3056,0.4305,0.8611
2010s,10,130,4755,2035,4070,0.4280,0.8559
2010s,30,130,2203,922,1844,0.4185,0.8370
2010s,50,130,2447,1015,2030,0.4148,0.8296
2010s,70,130,3531,1529,3058,0.4330,0.8660
2010s,90,130,3904,1671,3342,0.4280,0.8560
2010s,110,130,4621,1880,3760,0.4068,0.8137
2010s,130,130,5383,2089,4178,0.3881,0.7761
2010s,150,130,4322,1748,3496,0.4044,0.8089
2010s,170,130,1883,732,1464,0.3887,0.7775
2010s,190,130,602,240,537,0.3987,0.8920
2010s,210,130,6279,2304,6911,0.3669,1.1007
2010s,230,130,2342,881,2643,0.3762,1.1285
2010s,250,130,14,4,12,0.2857,0.8571
2010s,-250,150,9,1,3,0.1111,0.3333
2010s,-230,150,495,161,483,0.3253,0.9758
2010s,-210,150,6939,2507,7521,0.3613,1.0839
2010s,-190,150,6263,2313,6929,0.3693,1.1063
2010s,-170,150,896,335,721,0.3739,0.8047
2010s,-150,150,2680,995,1990,0.3713,0.7425
2010s,-130,150,4604,1786,3572,0.3879,0.7758
2010s,-110,150,6188,2502,5004,0.4043,0.8087
2010s,-90,150,5534,2188,4376,0.3954,0.7907
2010s,-70,150,3847,1602,3204,0.4164,0.8329
2010s,-50,150,2871,1200,2400,0.4180,0.8359
2010s,-30,150,2628,1101,2202,0.4189,0.8379
2010s,-10,150,4377,1895,3790,0.4329,0.8659
2010s,10,150,6024,2606,5212,0.4326,0.8652
2010s,30,150,3002,1253,2506,0.4174,0.8348
2010s,50,150,2764,1162,2324,0.4204,0.8408
2010s,70,150,4142,1731,3462,0.4179,0.8358
2010s,90,150,6144,2575,5150,0.4191,0.8382
2010s,110,150,6623,2633,5266,0.3976,0.7951
2010s,130,150,5437,2089,4178,0.3842,0.7684
2010s,150,150,3202,1235,2470,0.3857,0.7714
2010s,170,150,975,367,743,0.3764,0.7621
2010s,190,150,4786,1750,5233,0.3656,1.0934
2010s,210,150,6566,2318,6954,0.3530,1.0591
2010s,230,150,543,204,612,0.3757,1.1271
2010s,250,150,0,0,0,,
2010s,-250,170,2,2,6,1.0000,3.0000
2010s,-230,170,110,40,120,0.3636,1.0909
2010s,-210,170,2453,837,2511,0.3412,1.0236
2010s,-190,170,9359,3342,10026,0.3571,1.0713
2010s,-170,170,6719,2495,7461,0.3713,1.1104
2010s,-150,170,1074,416,869,0.3873,0.8091
2010s,-130,170,2381,900,1800,0.3780,0.7560
2010s,-110,170,4460,1728,3456,0.3874,0.7749
2010s,-90,170,5039,2050,4100,0.4068,0.8137
2010s,-70,170,4434,1818,3636,0.4100,0.8200
2010s,-50,170,3903,1631,3262,0.4179,0.8358
2010s,-30,170,3233,1328,2656,0.4108,0.8215
2010s,-10,170,4384,1848,3696,0.4215,0.8431
2010s,10,170,5641,2300,4600,0.4077,0.8155
2010s,30,170,3500,1470,2940,0.4200,0.8400
2010s,50,170,4042,1651,3302,0.4085,0.8169
2010s,70,170,4716,1911,3822,0.4052,0.8104
2010s,90,170,5603,2188,4376,0.3905,0.7810
2010s,110,170,4966,1880,3760,0.3786,0.7571
2010s,130,170,3279,1239,2478,0.3779,0.7557
2010s,150,170,1306,526,1067,0.4028,0.8170
2010s,170,170,4845,1817,5403,0.3750,1.1152
2010s,190,170,9415,3375,10125,0.3585,1.0754
2010s,210,170,2204,748,2244,0.3394,1.0181
2010s,230,170,108,33,99,0.3056,0.9167
2010s,250,170,1,0,0,0.0000,0.0000
2010s,-250,190,3,1,3,0.3333,1.0000
2010s,-230,190,20,5,15,0.2500,0.7500
2010s,-210,190,601,208,624,0.3461,1.0383
2010s,-190,190,3904,1324,3972,0.3391,1.0174
2010s,-170,190,12301,4278,12834,0.3478,1.0433
2010s,-150,190,7822,2858,8563,0.3654,1.0947
2010s,-130,190,930,350,820,0.3763,0.8817
2010s,-110,190,1901,704,1408,0.3703,0.7407
2010s,-90,190,2554,998,1996,0.3908,0.7815
2010s,-70,190,3089,1169,2338,0.3784,0.7569
2010s,-50,190,3514,1409,2818,0.4010,0.8019
2010s,-30,190,3648,1447,2894,0.3967,0.7933
2010s,-10,190,4815,1965,3930,0.4081,0.8162
2010s,10,190,6463,2657,5314,0.4111,0.8222
2010s,30,190,4160,1664,3328,0.4000,0.8000
2010s,50,190,3955,1627,3254,0.4114,0.8228
2010s,70,190,3504,1415,2830,0.4038,0.8076
2010s,90,190,3160,1188,2376,0.3759,0.7519
2010s,110,190,2269,809,1618,0.3565,0.7131
2010s,130,190,1143,415,895,0.3631,0.7830
2010s,150,190,6584,2450,7316,0.3721,1.1112
2010s,170,190,12717,4637,13911,0.3646,1.0939
2010s,190,190,3796,1304,3912,0.3435,1.0306
2010s,210,190,427,125,375,0.2927,0.8782
2010s,230,190,29,9,27,0.3103,0.9310
2010s,250,190,1,1,3,1.0000,3.0000
2010s,-250,210,1,0,0,0.0000,0.0000
2010s,-230,210,11,1,3,0.0909,0.2727
2010s,-210,210,150,45,135,0.3000,0.9000
2010s,-190,210,1093,367,1101,0.3358,1.0073
2010s,-170,210,5030,1726,5178,0.3431,1.0294
2010s,-150,210,12672,4465,13395,0.3524,1.0571
2010s,-130,210,10721,3800,11399,0.3544,1.0632
2010s,-110,210,3438,1226,3587,0.3566,1.0433
2010s,-90,210,925,348,742,0.3762,0.8022
2010s,-70,210,1314,481,962,0.3661,0.7321
2010s,-50,210,1664,606,1212,0.3642,0.7284
2010s,-30,210,1974,740,1480,0.3749,0.7497
2010s,-10,210,3052,1157,2314,0.3791,0.7582
2010s,10,210,4177,1624,3248,0.3888,0.7776
2010s,30,210,2416,940,1880,0.3891,0.7781
2010s,50,210,1950,710,1420,0.3641,0.7282
2010s,70,210,1631,563,1126,0.3452,0.6904
2010s,90,210,1173,412,863,0.3512,0.7357
2010s,110,210,3067,1115,3211,0.3635,1.0470
2010s,130,210,11124,4016,12045,0.3610,1.0828
2010s,150,210,13614,4787,14361,0.3516,1.0549
2010s,170,210,5283,1828,5484,0.3460,1.0380
2010s,190,210,925,308,924,0.3330,0.9989
2010s,210,210,120,31,93,0.2583,0.7750
2010s,230,210,8,2,6,0.2500,0.7500
2010s,250,210,0,0,0,,
2010s,-250,230,0,0,0,,
2010s,-230,230,9,1,3,0.1111,0.3333
2010s,-210,230,59,20,60,0.3390,1.0169
2010s,-190,230,259,70,210,0.2703,0.8108
2010s,-170,230,1159,365,1095,0.3149,0.9448
2010s,-150,230,3815,1236,3708,0.3240,0.9720
2010s,-130,230,8116,2723,8169,0.3355,1.0065
