player_id,player_name,season,gp,ppg,ts_pct,headshot_path,headshot_available
1628384,O. Anunoby,2025,74,18.0,0.581416,analytics/images/nba/headshots/1628384.png,1
203952,A. Wiggins,2025,60,17.9667,0.55482,analytics/images/nba/headshots/203952.png,1
1628969,M. Bridges,2025,82,17.6098,0.56905,analytics/images/nba/headshots/1628969.png,1
1631093,J. Ivey,2025,30,17.6,0.57645,analytics/images/nba/headshots/1631093.png,1
202710,J. Butler III,2025,55,17.5273,0.624398,analytics/images/nba/headshots/202710.png,1
1627749,D. Murray,2025,31,17.4839,0.488887,analytics/images/nba/headshots/1627749.png,1
1628370,M. Monk,2025,65,17.1846,0.545028,analytics/images/nba/headshots/1628370.png,1
1630193,I. Quickley,2025,33,17.0909,0.583076,analytics/images/nba/headshots/1630193.png,1
203078,B. Beal,2025,53,17.0189,0.58017,analytics/images/nba/headshots/203078.png,1
1629631,D. Hunter,2025,64,17.0,0.623655,analytics/images/nba/headshots/1629631.png,1
1630166,D. Avdija,2025,72,16.9306,0.589718,analytics/images/nba/headshots/1630166.png,1
1641718,K. George,2025,67,16.791,0.538904,analytics/images/nba/headshots/1641718.png,1
1627826,I. Zubac,2025,80,16.75,0.638687,analytics/images/nba/headshots/1627826.png,1
1628401,D. White,2025,76,16.4211,0.608568,analytics/images/nba/headshots/1628401.png,1
1627736,M. Beasley,2025,82,16.2927,0.58602,analytics/images/nba/headshots/1627736.png,1
1630170,D. Vassell,2025,64,16.2656,0.544647,analytics/images/nba/headshots/1630170.png,1
202331,P. George,2025,41,16.2195,0.527461,analytics/images/nba/headshots/202331.png,1
203903,J. Clarkson,2025,37,16.2162,0.52253,analytics/images/nba/headshots/203903.png,1
1630591,J. Suggs,2025,35,16.2,0.527369,analytics/images/nba/headshots/1630591.png,1
1631097,B. Mathurin,2025,72,16.0556,0.580768,analytics/images/nba/headshots/1631097.png,1
1626167,M. Turner,2025,72,15.5556,0.613949,analytics/images/nba/headshots/1626167.png,1
1631128,C. Braun,2025,79,15.4177,0.667997,analytics/images/nba/headshots/1631128.png,1
1642272,J. McCain,2025,23,15.3043,0.557478,analytics/images/nba/headshots/1642272.png,1
1630228,J. Kuminga,2025,47,15.2979,0.529866,analytics/images/nba/headshots/1630228.png,1
1631109,M. Williams,2025,44,15.25,0.645573,analytics/images/nba/headshots/1631109.png,1
1626162,K. Oubre Jr.,2025,60,15.1,0.55176,analytics/images/nba/headshots/1626162.png,1
1631096,C. Holmgren,2025,32,14.9688,0.577381,analytics/images/nba/headshots/1631096.png,1
1628398,K. Kuzma,2025,65,14.8308,0.512714,analytics/images/nba/headshots/1628398.png,1
1642264,S. Castle,2025,81,14.6914,0.499398,analytics/images/nba/headshots/1642264.png,1
1629023,P. Washington,2025,57,14.6667,0.544479,analytics/images/nba/headshots/1629023.png,1
203932,A. Gordon,2025,51,14.6667,0.637749,analytics/images/nba/headshots/203932.png,1
1630581,J. Giddey,2025,70,14.6,0.56315,analytics/images/nba/headshots/1630581.png,1
1629656,Q. Grimes,2025,75,14.56,0.552117,analytics/images/nba/headshots/1629656.png,1
1627751,J. Poeltl,2025,57,14.4561,0.629521,analytics/images/nba/headshots/1627751.png,1
203924,J. Grant,2025,47,14.4043,0.508347,analytics/images/nba/headshots/203924.png,1
1629028,D. Ayton,2025,40,14.4,0.580622,analytics/images/nba/headshots/1629028.png,1
1641711,G. Dick,2025,54,14.3889,0.524876,analytics/images/nba/headshots/1641711.png,1
1630202,P. Pritchard,2025,80,14.3,0.605922,analytics/images/nba/headshots/1630202.png,1
1629675,N. Reid,2025,80,14.225,0.571526,analytics/images/nba/headshots/1629675.png,1
1630700,D. Daniels,2025,76,14.1184,0.549151,analytics/images/nba/headshots/1630700.png,1
1630544,T. Mann,2025,13,14.0769,0.516577,analytics/images/nba/headshots/1630544.png,1
1627832,F. VanVleet,2025,60,14.0667,0.496682,analytics/images/nba/headshots/1627832.png,1
1641708,A. Thompson,2025,69,14.058,0.600616,analytics/images/nba/headshots/1641708.png,1
